Parameter,Time point,Value,Participant,Experiment
Breathing rate (BPM),60s,21.366,Participant 3,High Impact w/ fast tempo
Breathing rate (BPM),90s,21.762,Participant 3,High Impact w/ fast tempo
Breathing rate (BPM),120s,23.364,Participant 3,High Impact w/ fast tempo
Breathing Volume (L),rest,0.219,Participant 3,High Impact w/ fast tempo
Breathing Volume (L),30s,0.429,Participant 3,High Impact w/ fast tempo
Breathing Volume (L),60s,0.387,Participant 3,High Impact w/ fast tempo
Breathing Volume (L),90s,0.468,Participant 3,High Impact w/ fast tempo
Breathing Volume (L),120s,0.437,Participant 3,High Impact w/ fast tempo
Respiratory Volume,rest,4.935822,Participant 3,High Impact w/ fast tempo
Respiratory Volume,30s,10.565412,Participant 3,High Impact w/ fast tempo
Respiratory Volume,60s,8.268642,Participant 3,High Impact w/ fast tempo
Respiratory Volume,90s,10.184616,Participant 3,High Impact w/ fast tempo
Respiratory Volume,120s,10.210068,Participant 3,High Impact w/ fast tempo
Heart rate (BPM),return,93,Participant 3,High Impact w/ fast tempo
Time to baseline,return,384,Participant 3,High Impact w/ fast tempo
Heart rate (BPM),rest,98,Participant 4,High Impact w/ fast tempo
Heart rate (BPM),30s,176,Participant 4,High Impact w/ fast tempo
Heart rate (BPM),60s,169,Participant 4,High Impact w/ fast tempo
Heart rate (BPM),90s,173,Participant 4,High Impact w/ fast tempo
Heart rate (BPM),120s,177,Participant 4,High Impact w/ fast tempo
Breathing rate (BPM),rest,14.974,Participant 4,High Impact w/ fast tempo
Breathing rate (BPM),30s,20.28,Participant 4,High Impact w/ fast tempo
Breathing rate (BPM),60s,21.107,Participant 4,High Impact w/ fast tempo
Breathing rate (BPM),90s,21.399,Participant 4,High Impact w/ fast tempo
Breathing rate (BPM),120s,20.581,Participant 4,High Impact w/ fast tempo
Breathing Volume (L),rest,0.349,Participant 4,High Impact w/ fast tempo
Breathing Volume (L),30s,0.454,Participant 4,High Impact w/ fast tempo
Breathing Volume (L),60s,0.384,Participant 4,High Impact w/ fast tempo
Breathing Volume (L),90s,0.474,Participant 4,High Impact w/ fast tempo
Breathing Volume (L),120s,0.452,Participant 4,High Impact w/ fast tempo
Respiratory Volume,rest,5.225926,Participant 4,High Impact w/ fast tempo
Respiratory Volume,30s,9.20712,Participant 4,High Impact w/ fast tempo
Respiratory Volume,60s,8.105088,Participant 4,High Impact w/ fast tempo
Respiratory Volume,90s,10.143126,Participant 4,High Impact w/ fast tempo
Respiratory Volume,120s,9.302612,Participant 4,High Impact w/ fast tempo
Heart rate (BPM),return,98,Participant 4,High Impact w/ fast tempo
Time to baseline,return,225,Participant 4,High Impact w/ fast tempo
